CAP,GPO,DESCRIP
1,,Ciertas enfermedades infecciosas y parasitarias
1,1,Enfermedades infecciosas intestinales (A00-A09)
1,2,Tuberculosis  (A15-A19)
1,3,Ciertas zoonosis bacterianas (A20-A28)
1,4,Otras enfermedades bacterianas (A30-A49)
1,5,Infecciones con modo de transmisión predominantemente sexual (A50-A64)
1,6,Otras enfermedades debidas a espiroquetas (A65-A69)
1,7,Otras enfermedades causadas por clamidias (A70-A74)
1,8,Rickettsiosis (A75-A79)
1,9,Infecciones virales del sistema nervioso central (A80-A89)
1,10,Fiebres virales transmitidas por artrópodos y fiebres virales hemorrágicas (A90-A99)
1,11,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas (B00-B09)
1,12,Hepatitis viral (B15-B19)
1,13,Enfermedad por virus de la inmunodeficiencia humana (VIH) (B20-B24)
1,14,Otras enfermedades virales (B25-B34)
1,15,Micosis (B35-B49)
1,16,Enfermedades debidas a protozoarios (B50-B64)
1,17,Helmintiasis (B65-B83)
1,18,"Pediculosis, acariasis y otras infestaciones (B85-B89)"
1,19,Secuelas de enfermedades infecciosas y parasitarias (B90-B94)
1,20,"Bacterias, virus y otros agentes infecciosos (B95-B98)"
1,21,Otras enfermedades infecciosas (B99)
2,,Tumores (neoplasias)
2,1,"Tumores malignos del labio, de la cavidad bucal y de la faringe (C00-C14)"
2,2,Tumores malignos de los órganos digestivos (C15-C26)
2,3,Tumores malignos de los órganos respiratorios e intratorácicos (C30-C39)
2,4,Tumores malignos de los huesos y de los cartílagos articulares (C40-C41)
2,5,Melanoma y otros tumores malignos de la piel (C43-C44)
2,6,Tumores malignos de los tejidos mesoteliales y de los tejidos blandos (C45-C49)
2,7,Tumor maligno de la mama (C50)
2,8,Tumores malignos de los órganos genitales femeninos (C51-C58)
2,9,Tumores malignos de los órganos genitales masculinos (C60-C63)
2,10,Tumores malignos de las vías urinarias (C64-C68)
2,11,"Tumores malignos del ojo, del encéfalo y de otras partes del sistema nervioso central (C69-C72)"
2,12,Tumores malignos de la glándula tiroides y de otras glándulas endocrinas (C73-C75)
2,13,"Tumores (neoplasias) malignos de sitios mal definidos, secundarios y de sitios no especificados (C76-C80)"
2,14,"Tumores (neoplasias) malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines (C81-C96)"
2,15,Tumores (neoplasias) malignos (primarios) de sitios múltiples independientes (C97)
2,16,Tumores (neoplasias) in situ (D00-D09)
2,17,Tumores (neoplasias) benignos (D10-D36)
2,18,Tumores (neoplasias) de comportamiento incierto o desconocido (D37-D48)
3,,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad"
3,1,Anemias nutricionales (D50-D53)
3,2,Anemias hemolíticas (D55-D59)
3,3,Anemias aplásticas y otras anemias (D60-D64)
3,4,"Defectos de la coagulación, púrpura y otras afecciones hemorrágicas (D65-D69)"
3,5,Otras enfermedades de la sangre y de los órganos hematopoyéticos (D70-D77)
3,6,Ciertos trastornos que afectan el mecanismo de la inmunidad (D80-D89)
4,,"Enfermedades endocrinas, nutricionales y metabólicas"
4,1,Trastornos de la glándula tiroides (E00-E07)
4,2,Diabetes mellitus (E10-E14)
4,3,Otros trastornos de la regulación de la glucosa y de la secreción interna del páncreas (E15-E16)
4,4,Trastornos de otras glándulas endocrinas (E20-E35)
4,5,Desnutrición (E40-E46)
4,6,Otras deficiencias nutricionales (E50-E64)
4,7,Obesidad y otros tipos de hiperalimentación (E65-E68)
4,8,Trastornos metabólicos (E70-E90)
5,,Trastornos mentales y del comportamiento
5,1,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos (F00-F09)"
5,2,Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19)
5,3,"Esquizofrenia, trastornos esquizotípicos y trastornos delirantes (F20-F29)"
5,4,Trastornos del  humor (afectivos) (F30-F39)
5,5,"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48)"
5,6,Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos (F50-F59)
5,7,Trastornos de la personalidad y del comportamiento en adultos (F60-F69)
5,8,Retraso mental (F70-F79)
5,9,Trastornos del desarrollo psicológico (F80-F89)
5,10,Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez y en la adolescencia (F90-F98)
5,11,Trastorno mental no  especificado (F99)
6,,Enfermedades del sistema nervioso
6,1,Enfermedades inflamatorias del sistema nervioso central (G00-G09)
6,2,Atrofias sistémicas que afectan principalmente el sistema nervioso central (G10-G14)
6,3,Trastornos extrapiramidales y del movimiento (G20-G26)
6,4,Otras enfermedades degenerativas del sistema nervioso (G30-G32)
6,5,Enfermedades desmielinizantes del sistema nervioso central (G35-G37)
6,6,Trastornos episódicos y paroxísticos (G40-G47)
6,7,"Trastornos de  los nervios, de las raíces y de los plexos nerviosos (G50-G59)"
6,8,Polineuropatías y otros trastornos del sistema nervioso periférico (G60-G64)
6,9,Enfermedades musculares y de la unión neuromuscular (G70-G73)
6,10,Parálisis cerebral y otros síndromes paralíticos (G80-G83)
6,11,Otros trastornos del sistema nervioso (G90-G99)
7,,Enfermedades del ojo y sus anexos
7,1,"Trastornos del párpado, aparato lagrimal y órbita (H00-H06)"
7,2,Trastornos de la conjuntiva (H10-H13)
7,3,"Trastornos de la esclerótica, córnea, iris y cuerpo ciliar (H15-H22)"
7,4,Trastornos del cristalino (H25-H28)
7,5,Trastornos de la coroides y de la retina (H30-H36)
7,6,Glaucoma (H40-H42)
7,7,Trastornos del cuerpo vítreo y del globo ocular (H43-H45)
7,8,Trastornos del nervio óptico y de las vías ópticas (H46-H48)
7,9,"Trastornos de los músculos oculares, del movimiento binocular, de la acomodación y de la refracción (H49-H52)"
7,10,Alteraciones de la visión y ceguera (H53-H54)
7,11,Otros trastornos del ojo y sus anexos (H55-H59)
8,,Enfermedades del oído y de la apófisis mastoides
8,1,Enfermedades del oído externo (H60-H62)
8,2,Enfermedades del oído medio y de la mastoides (H65-H75)
8,3,Enfermedades del oído interno (H80-H83)
8,4,Otros trastornos del oído (H90-H95)
9,,Enfermedades del sistema circulatorio
9,1,Fiebre reumática aguda (I00-I02)
9,2,Enfermedades cardíacas reumáticas crónicas (I05-I09)
9,3,Enfermedades hipertensivas (I10-I15)
9,4,Enfermedades isquémicas del corazón (I20-I25)
9,5,Enfermedad cardiopulmonar y enfermedades de la circulación pulmonar (I26-I28)
9,6,Otras formas de enfermedad del corazón (I30-I52)
9,7,Enfermedades cerebrovasculares (I60-I69)
9,8,"Enfermedades de las arterias, de las arteriolas y de los vasos capilares (I70-I79)"
9,9,"Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte (I80-I89)"
9,10,Otros trastornos y los no especificados del sistema circulatorio (I95-I99)
10,,Enfermedades del sistema respiratorio
10,1,Infecciones agudas de las vías respiratorias superiores (J00-J06)
10,2,Influenza (gripe) y neumonía (J09-J18)
10,3,Otras infecciones agudas de las vías respiratorias inferiores (J20-J22)
10,4,Otras enfermedades de las vías respiratorias superiores (J30-J39)
10,5,Enfermedades crónicas de las vías respiratorias inferiores (J40-J47)
10,6,Enfermedades del pulmón debidas a agentes externos (J60-J70)
10,7,Otras enfermedades respiratorias que afectan principalmente al intersticio  (J80-J84)
10,8,Afecciones supurativas y necróticas de las vías respiratorias inferiores (J85-J86)
10,9,Otras enfermedades de la pleura (J90-J94)
10,10,Otras enfermedades del sistema respiratorio (J95-J99)
11,,Enfermedades del sistema digestivo
