cve,descrip
"A505","OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA"
"D77X","OTROS TRASTORNOS DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE"
"E351","TRASTORNOS DE LAS GLANDULAS SUPRARRENALES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE"
"F000","DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TEMPRANO"
"F001","DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TARDIO"
"F002","DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, ATIPICA O DE TIPO MIXTO"
"F009","DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, NO ESPECIFICADA"
"F020","DEMENCIA EN LA ENFERMEDAD DE PICK"
"F021","DEMENCIA EN LA ENFERMEDAD DE CREUTZFELDT-JAKOB"
"F022","DEMENCIA EN LA ENFERMEDAD DE HUNTINGTON"
"F023","DEMENCIA EN LA ENFERMEDAD DE PARKINSON"
"F028","DEMENCIA EN OTRAS ENFERMEDADES ESPECIFICADAS CLASIFICADAS EN OTRA PARTE"
"F042","SINDROME AMNESICO ORGANICO, NO INDUCIDO POR ALCOHOL O POR OTRAS SUSTANCIAS PSICOACTIVAS"
"G01X","MENINGITIS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE"
"G020","MENINGITIS EN ENFERMEDADES VIRALES CLASIFICADAS EN OTRA PARTE"
"G021","MENINGITIS EN MICOSIS"
"G050","ENCEFALITIS, MIELITIS Y ENCEFALOMIELITIS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE"
"G051","ENCEFALITIS, MIELITIS Y ENCEFALOMIELITIS EN ENFERMEDADES VIRALES CLASIFICADAS EN OTRA PARTE"
"G052","ENCEFALITIS, MIELITIS Y ENCEFALOMIELITIS EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE"
"G07X","ABSCESO Y GRANULOMA INTRACRANEAL E INTRARRAQUIDEO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE"
"G530","NEURALGIA POSTHERPES ZOSTER"
"G551","COMPRESIONES DE LAS RAICES Y PLEXOS NERVIOSOS EN TRASTORNOS DE LOS DISCOS INTERVERTEBRALES"
"G590","MONONEUROPATIA DIABETICA"
"G630","POLINEUROPATIA EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE"
"G632","POLINEUROPATIA DIABETICA"
"G635","POLINEUROPATIA EN TRASTORNOS DEL TEJIDO CONECTIVO SISTEMICO"
"G636","POLINEUROPATIA EN OTROS TRASTORNOS OSTEOMUSCULARES"
"G638","POLINEUROPATIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE"
"G730","SINDROMES MIASTENICOS EN ENFERMEDADES ENDOCRINAS"
"G737","MIOPATIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE"
"G990","NEUROPATIA AUTONOMICA EN ENFERMEDADES METABOLICAS Y ENDOCRINAS"
"G992","MIELOPATIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE"
"G998","OTROS TRASTORNOS ESPECIFICADOS DEL SISTEMA NERVIOSO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE"
"H131","CONJUNTIVITIS EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE"
"H192","POLINEUROPATIAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE"
"H193","QUERATITIS Y QUERATOCONJUNTIVITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE"
"H280","CATARATA DIABETICA"
"H320","INFLAMACION CORIORRETINIANA EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE"
"H328","OTROS TRASTORNOS CORIORRETINIANOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE"
"H360","RETINOPATIA DIABETICA"
