CVE,DESCRIP
01,ENFERMEDADES INFECCIOSAS INTESTINALES
02,TUBERCULOSIS
03,OTRAS ENFERMEDADES BACTERIANAS
04,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL
05,OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS Y EFECTOS TARDIOS DE LAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
06,ENFERMEDADES VIRICAS
07,RICKETTSIOSIS Y OTRAS ENFERMEDADES DEBIDAS A PROTOZOARIOS
08,"TUMORES MALIGNOS DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA FARINGE"
09,TUMORES MALIGNOS DE LOS ORGANOS DIGESTIVOS
10,TUMOR MALIGNO DE ORGANOS RESPIRATORIOS E INTRATORACICOS
11,"TUMORES MALIGNOS DE LOS HUESOS, DE LOS CARTILAGOS ARTICULARES, DEL TEJIDO CONJUNTIVO, DE LA PIEL Y DE LA MAMA"
12,TUMORES MALIGNOS DE LOS ORGANOS GENITOURINARIOS
13,TUMORES MALIGNOS DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS
14,"TUMORES MALIGNOS DEL TEJIDO LINFATICO, DE LOS ORGANOS HEMATOPOYETICOS Y TEJIDOS AFINES"
15,TUMORES MALIGNOS (PRIMARIOS) DE SITIOS MULTIPLES INDEPENDIENTES
16,TUMORES IN SITU
17,TUMORES BENIGNOS
18,TUMORES DE COMPORTAMIENTO INCIERTO O DESCONOCIDO
19,"ENFERMEDADES DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS, Y CIERTOS TRASTORNOS QUE AFECTAN EL MECANISMO DE LA INMUNIDAD"
20,ENFERMEDADES ENDOCRINAS Y METABOLICAS
21,DESNUTRICION Y OTRAS DEFICIENCIAS NUTRICIONALES
22,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
23,ENFERMEDADES DEL SISTEMA NERVIOSO
24,ENFERMEDADES DEL OJO Y SUS ANEXOS
25,ENFERMEDADES DEL OIDO Y DE LA APOFISIS MASTOIDES
26,FIEBRE REUMATICA AGUDA Y ENFERMEDADES CARDIACAS REUMATICAS CRONICAS
27,ENFERMEDADES HIPERTENSIVAS
28,ENFERMEDADES ISQUEMICAS DEL CORAZON
29,ENFERMEDADES DE LA CIRCULACION PULMONAR Y OTRAS ENFERMEDADES DEL CORAZON
30,ENFERMEDADES CEREBROVASCULARES
31,OTRAS ENFERMEDADES DEL APARATO CIRCULATORIO
32,INFECCIONES Y OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES
33,OTRAS ENFERMEDADES DEL APARATO RESPIRATORIO
34,"ENFERMEDADES DE LA CAVIDAD BUCAL, DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES"
35,ENFERMEDADES DE OTRAS PARTES DEL APARATO DIGESTIVO
36,ENFERMEDADES DE LA PIEL Y DEL TEJIDO  SUBCUTANEO
37,ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
38,ENFERMEDADES DEL APARATO URINARIO
39,ENFERMEDADES DE LOS ORGANOS GENITALES MASCULINOS
40,TRASTORNOS DE LA MAMA
41,ENFERMEDADES DE LOS ORGANOS GENITALES FEMENINOS
42,TRASTORNOS DEL SISTEMA GENITOURINARIO CONSECUTIVO A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE
43,CAUSAS OBSTETRICAS DIRECTAS
44,PARTO UNICO ESPONTANEO
45,CAUSAS OBSTETRICAS INDIRECTAS
46,CIERTAS AFECCIONES ORIGINADAS EN EL PERIODO PERINATAL
47,"MALFORMACIONES CONGENITAS, DEFORMIDADES Y ANOMALIAS CROMOSOMICAS"
48,"SINTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLINICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE"
E49,ACCIDENTES DE TRANSPORTE
E50,CAIDAS
E51,"OTROS ACCIDENTES, INCLUSO LOS EFECTOS TARDIOS"
E52,"EXPOSICION AL HUMO, FUEGO Y LLAMAS"
E53,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A SUSTANCIAS NOCIVAS"
E54,LESIONES AUTOINFLIGIDAS INTENCIONALMENTE
E55,AGRESIONES
E56,OTRA VIOLENCIA
E57,"DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS CAUSANTES DE EFECTOS ADVERSOS EN SU USO TERAPEUTICO"
E58,"CONTRATIEMPOS DURANTE LA ATENCION MEDICA, REACCIONES ANORMALES Y COMPLICACIONES ULTERIORES"
E59,"SECUELAS DE LESIONES AUTOINFLIGIDAS, AGRESIONES Y EVENTOS DE INTENCION NO DETERMINADA, DE ATENCION MEDICA Y QUIRURGICA Y DE OTRAS CAUSAS EXTERNAS"
