cve,descrip
001,CIERTAS  ENFERMEDADES INFECCIOSAS  Y PARASITARIAS
002,COLERA
003,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
004,OTRAS ENFERMEDADES INFECCIOSAS INTESTINALES
005,TUBERCULOSIS RESPIRATORIA
006,OTRAS TUBERCULOSIS
007,PESTE
008,TETANOS
009,DIFTERIA
010,TOS FERINA
011,INFECCION MENINGOCOCICA
012,SEPTICEMIA
013,INFECCIONES  CON  UN MODO DE  TRANSMISION  PREDOMINANTEMENTE SEXUAL
014,POLIOMIELITIS AGUDA
015,RABIA
016,FIEBRE AMARILLA
017,OTRAS FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS Y FIEBRES HEMORRAGICAS VIRALES
018,SARAMPION
019,HEPATITIS VIRAL
020,ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH)
021,PALUDISMO (MALARIA)
022,LEISHMANIASIS
023,TRIPANOSOMIASIS
024,ESQUISTOSOMIASIS
025,RESTO DE CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
026,TUMORES (NEOPLASIAS)
027,"TUMORES MALIGNOS DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA FARINGE"
028,TUMOR MALIGNO DEL ESOFAGO
029,TUMOR MALIGNO DEL ESTOMAGO
030,"TUMOR MALIGNO DEL COLON, DEL RECTO Y DEL ANO"
031,TUMOR MALIGNO DEL HIGADO Y  DE LAS VIAS BILIARES INTRAHEPATICAS
032,TUMOR MALIGNO DEL PANCREAS
033,TUMOR MALIGNO DE LA LARINGE
034,"TUMOR MALIGNO DE LA TRAQUEA, DE LOS BRONQUIOS Y DEL PULMON"
035,MELANOMA MALIGNO DE LA PIEL
036,TUMOR MALIGNO DE LA MAMA
037,TUMOR MALIGNO DEL CUELLO DEL UTERO
038,TUMOR MALIGNO DE OTRAS PARTES  Y DE LAS NO ESPECIFICADAS DEL UTERO
039,TUMOR MALIGNO DEL OVARIO
040,TUMOR MALIGNO DE LA PROSTATA
041,TUMOR MALIGNO DE LA VEJIGA URINARIA
042,"TUMOR MALIGNO DE LAS MENINGES, DEL ENCEFALO Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL"
043,LINFOMA NO HODGKIN
044,MIELOMA MULTIPLE Y TUMORES MALIGNOS DE CELULAS PLASMATICAS
045,LEUCEMIA
046,RESTO DE TUMORES MALIGNOS
047,RESTO DE TUMORES
048,"ENFERMEDADES DE LA SANGRE Y DEL LOS ORGANOS HEMATOPOYETICOS, Y CIERTOS TRASTORNOS QUE AFECTAN EL MECANISMO DE LA INMUNIDAD"
049,ANEMIAS
050,"RESTO  DE ENFERMEDADES DE LA SANGRE Y DE LOS ORGANOS   HEMATOPOYETICOS, Y CIERTOS TRASTORNOS QUE AFECTAN EL MECANISMO DE LA INMUNIDAD"
051,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS"
052,DIABETES MELLITUS
053,DESNUTRICION
054,"RESTO DE ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS"
055,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
056,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS
057,RESTO  DE TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
058,ENFERMEDADES DEL SISTEMA NERVIOSO
059,MENINGITIS
060,ENFERMEDAD DE ALZHEIMER
061,RESTO DE ENFERMEDADES DEL SISTEMA NERVIOSO
062,ENFERMEDADES DEL OJO Y SUS ANEXOS
063,ENFERMEDADES DEL OIDO Y DE LA APOFISIS MASTOIDES
064,ENFERMEDADES DEL SISTEMA CIRCULATORIO
065,FIEBRE REUMATICA AGUDA Y ENFERMEDADES CARDIACAS REUMATICAS CRONICAS
066,ENFERMEDADES HIPERTENSIVAS
067,ENFERMEDADES ISQUEMICAS DEL CORAZON
068,OTRAS ENFERMEDADES DEL CORAZON
069,ENFERMEDADES CEREBROVASCULARES
070,ATEROSCLEROSIS
071,RESTO DE ENFERMEDADES DEL SISTEMA CIRCULATORIO
072,ENFERMEDADES DEL SISTEMA RESPIRATORIO
073,INFLUENZA (GRIPE)
074,NEUMONIA
075,OTRAS INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS INFERIORES
076,ENFERMEDADES  CRONICAS DE LAS  VIAS   RESPIRATORIAS INFERIORES
077,RESTO DE ENFERMEDADES DEL SISTEMA RESPIRATORIO
078,ENFERMEDADES DEL SISTEMA DIGESTIVO
079,ULCERA GASTRICA Y DUODENAL
080,ENFERMEDADES DEL HIGADO
081,RESTO DE ENFERMEDADES DEL SISTEMA DIGESTIVO
082,ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTANEO
083,ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
084,ENFERMEDADES DEL SISTEMA GENITOURINARIO
085,"ENFERMEDADES RENALES, GLOMERULARES Y TUBULOINTERSTICIALES"
086,RESTO DE ENFERMEDADES DEL SISTEMA GENITOURINARIO
087,"EMBARAZO, PARTO Y PUERPERIO"
088,EMBARAZO TERMINADO EN ABORTO
089,OTRAS MUERTES OBSTETRICAS DIRECTAS
090,MUERTES OBSTETRICAS INDIRECTAS
091,"RESTO DE EMBARAZO, PARTO Y PUERPERIO"
092,CIERTAS AFECCIONES ORIGINADAS EN EL PERIODO PERINATAL
093,"MALFORMACIONES CONGENITAS, DEFORMIDADES Y ANOMALIAS CROMOSOMICAS"
094,"SINTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLINICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE"
095,CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD
096,ACCIDENTES DE TRANSPORTE
097,CAIDAS
098,AHOGAMIENTO Y SUMERSION ACCIDENTALES
099,"EXPOSICION AL HUMO, FUEGO Y LLAMAS"
100,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A SUSTANCIAS NOCIVAS"
101,LESIONES AUTOINFLIGIDAS INTENCIONALMENTE
102,AGRESIONES
103,TODAS LAS  DEMAS CAUSAS EXTERNAS
