cve,descrip
"011","Funcionarios y altas autoridades de los sectores público, privado y social"
"012","Directores y gerentes en servicios financieros, legales, administrativos y sociales"
"013","Directores y gerentes en producción, tecnología y transporte"
"014","Directores y gerentes de ventas, restaurantes, hoteles y otros establecimientos"
"015","Coordinadores y jefes de área en servicios financieros, administrativos y sociales"
"016","Coordinadores y jefes de área en producción y tecnología"
"017","Coordinadores y jefes de área de ventas, restaurantes, hoteles y otros establecimientos"
"019","Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente"
"021","Profesionistas en ciencias económico-administrativas, ciencias sociales, humanistas y en artes"
"022","Investigadores y profesionistas en ciencias exactas, biológicas, ingeniería, informática y en telecomunicaciones"
"023","Profesores y especialistas en docencia"
"024","Médicos, enfermeras y otros especialistas en salud"
"025","Auxiliares y técnicos en ciencias económico-administrativas, ciencias sociales, humanistas y en artes"
"026","Auxiliares y técnicos en ciencias exactas, biológicas, ingeniería, informática y en telecomunicaciones"
"027","Auxiliares y técnicos en educación, instructores y capacitadores"
"028","Enfermeras, técnicos en medicina y trabajadores de apoyo en salud"
"029","Otros profesionistas y técnicos no clasificados anteriormente"
"031","Supervisores de personal de apoyo administrativo, secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte"
"032","Supervisores y trabajadores que brindan y manejan información"
"039","Otros trabajadores auxiliares en actividades administrativas, no clasificados anteriormente"
"041","Comerciantes en establecimientos"
"042","Empleados de ventas en establecimientos"
"043","Trabajadores en servicios de alquiler"
"049","Otros comerciantes, empleados en ventas y agentes de ventas en establecimientos, no clasificados anteriormente"
"051","Trabajadores en la preparación y servicio de alimentos y bebidas, así como en servicios de esparcimiento y de hotelería"
"052","Trabajadores en cuidados personales y del hogar"
"053","Trabajadores en servicios de protección y vigilancia"
"054","Trabajadores de la Armada, Ejército y Fuerza Aérea"
"061","Trabajadores en actividades agrícolas y ganaderas"
"062","Trabajadores en actividades pesqueras, forestales, caza y similares"
"063","Operadores de maquinaria agropecuaria y forestal"
"069","Otros trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca, no clasificados anteriormente"
"071","Trabajadores en la extracción y la edificación de construcciones"
"072","Artesanos y trabajadores en el tratamiento y elaboración de productos de metal"
"073","Artesanos y trabajadores en la elaboración de productos de madera, papel, textiles y de cuero y piel"
"074","Artesanos y trabajadores en la elaboración de productos de hule, caucho, plásticos y de sustancias químicas"
"075","Trabajadores en la elaboración y procesamiento de alimentos, bebidas y productos de tabaco"
"076","Artesanos y trabajadores en la elaboración de productos de cerámica, vidrio, azulejo y similares"
"079","Otros trabajadores artesanales no clasificados anteriormente"
"081","Operadores de instalaciones y maquinaria industrial"
"082","Ensambladores y montadores de herramientas, maquinaria, productos metálicos y electrónicos"
"083","Conductores de transporte y de maquinaria móvil"
"089","Otros operadores de maquinaria industrial, ensambladores y conductores de transporte, no clasificados anteriormente"
"091","Trabajadores de apoyo en actividades agropecuarias, forestales, pesca y caza"
"092","Trabajadores de apoyo en la minería, construcción e industria"
"093","Ayudantes de conductores de transporte, conductores de transporte de tracción humana y animal y cargadores"
"094","Ayudantes en la preparación de alimentos"
"095","Vendedores ambulantes"
"096","Trabajadores domésticos, de limpieza, planchadores y otros trabajadores de limpieza"
"097","Trabajadores de paquetería, de apoyo para espectáculos, mensajeros y repartidores de mercancías"
"098","Otros trabajadores en actividades elementales y de apoyo, no clasificados anteriormente"
"099","Ocupaciones no especificadas"
"100","Busca trabajo"
"110","No trabaja"
"997","No aplica a menores de 5 años"
"998","Ocupaciones insuficientemente especificadas"
"999","No especificada"
