cve,descrip
"001","Aguascalientes"
"002","Baja California"
"003","Baja California Sur"
"004","Campeche"
"005","Coahuila de Zaragoza"
"006","Colima"
"007","Chiapas"
"008","Chihuahua"
"009","Ciudad de México"
"010","Durango"
"011","Guanajuato"
"012","Guerrero"
"013","Hidalgo"
"014","Jalisco"
"015","México"
"016","Michoacán de Ocampo"
"017","Morelos"
"018","Nayarit"
"019","Nuevo León"
"020","Oaxaca"
"021","Puebla"
"022","Querétaro"
"023","Quintana Roo"
"024","San Luis Potosí"
"025","Sinaloa"
"026","Sonora"
"027","Tabasco"
"028","Tamaulipas"
"029","Tlaxcala"
"030","Veracruz de Ignacio de la Llave"
"031","Yucatán"
"032","Zacatecas"
"101","República de Angola"
"102","República Argelina Democrática y Popular"
"104","República de Benín"
"105","República de Botsuana"
"106","Burkina Faso"
"107","República de Burundi"
"108","República de Cabo Verde"
"109","República de Camerún"
"112","República de Ruanda"
"113","República del Congo"
"114","República de Costa de Marfil"
"115","República del Chad"
"116","República de Yibuti"
"117","República Árabe de Egipto"
"118","Estado de Eritrea"
"119","República Democrática Federal de Etiopía"
"120","República Gabonesa"
"121","República de Gambia"
"122","República de Ghana"
"123","República de Guinea"
"124","República de Guinea Bissau"
"125","República de Guinea Ecuatorial"
"126","República de Kenia"
"127","Reino de Lesotho"
"128","República de Liberia"
"129","Estado de Libia"
"130","República de Madagascar"
"133","República de Malaui"
"134","República de Malí"
"135","Reino de Marruecos"
"136","República de Mauricio"
"137","República Islámica de Mauritania"
"139","República de Mozambique"
"140","República de Namibia"
"141","República del Níger"
"142","República Federal de Nigeria"
"143","República Centroafricana"
"147","Isla Santa Helena"
"148","República Democrática de Santo Tomé y Príncipe"
"149","República de Senegal"
"150","República de las Seychelles"
"151","República de Sierra Leona"
"152","Unión de las Comoras"
"153","República Federal de Somalia"
"154","República de Sudáfrica"
"160","Reino de Suazilandia"
"161","República Unida de Tanzania"
"162","República Togolesa"
"164","República Tunecina"
"165","República de Uganda"
"167","República de Zambia"
"168","República de Zimbabue"
"169","República Democrática del Congo"
"170","República Árabe Saharaui Democrática"
"171","República del Sudán"
"172","República de Sudán del Sur"
"201","Anguila"
"202","Antigua y Barbuda"
"204","República Argentina"
"205","Aruba"
"206","Mancomunidad de las Bahamas"
"207","Barbados"
"208","Belice"
"209","Bermudas"
"210","Estado Plurinacional de Bolivia"
"211","República Federativa de Brasil"
"212","Islas Caimán"
"213","Canadá"
"214","República de Colombia"
"215","República de Costa Rica"
"216","República de Cuba"
"217","República de Chile"
"218","Mancomunidad de Dominica"
"219","República del Ecuador"
"220","República de El Salvador"
"221","Estados Unidos de América"
"222","Granada"
"223","Groenlandia"
"225","República de Guatemala"
"226","República Cooperativa de Guyana"
"228","República de Haití"
"229","República de Honduras"
"230","Jamaica"
"231","Islas Malvinas"
"233","Montserrat"
"234","República de Nicaragua"
"235","República de Panamá"
"236","República del Paraguay"
"237","República del Perú"
"238","Estado Libre Asociado de Puerto Rico"
"239","República Dominicana"
"240","Federación de San Cristóbal y Nieves"
"241","Isla de Man"
"242","San Vicente y las Granadinas"
"243","Santa Lucía"
"244","República de Surinam"
"245","República de Trinidad y Tobago"
"246","Islas Turcas y Caicos"
"247","República Oriental del Uruguay"
"248","Islas Vírgenes de los Estados Unidos"
"249","Islas Vírgenes Británicas"
"250","República Bolivariana de Venezuela"
"251","Curazao"
"252","Isla de Sint Maarten"
"260","México"
"301","República Islámica de Afganistán"
"302","Reino de Arabia Saudita"
"303","República de Armenia"
"304","República de Azerbaiyán"
"305","Reino de Bahréin"
"306","República Popular de Bangladesh"
"307","Reino de Bután"
"308","Sultanato de Brunéi"
"309","Reino de Camboya"
"312","República Popular Democrática de Corea"
"313","República de Corea"
"315","República Popular China"
"316","Taiwán"
"318","República de Chipre"
"321","Emiratos Árabes Unidos"
"322","República de Filipinas"
"323","Georgia"
"325","República de La India"
"326","República de Indonesia"
"327","República Islámica de Irán"
"328","República de Irak"
"329","Estado de Israel"
"330","Japón"
"331","Reino Hachemita de Jordania"
"332","República de Kazajstán"
"333","República Kirguisa"
"334","Estado de Kuwait"
"335","República Libanesa"
"337","Malasia"
"338","República de Maldivas"
"339","Mongolia"
"340","Unión de Myanmar"
"341","República Federal Democrática de Nepal"
"342","Sultanato de Omán"
"343","República Islámica de Pakistán"
"344","Estado de Qatar"
"345","República Democrática Popular Lao"
"346","República de Singapur"
"347","República Árabe Siria"
"348","República Socialista Democrática de Sri Lanka"
"349","Reino de Tailandia"
"350","República de Tayikistán"
"351","Turkmenistán"
"352","República de Turquía"
"353","República de Uzbekistán"
"354","República Socialista de Vietnam"
"355","República de Yemen"
"356","República de Palaos"
"357","República Democrática de Timor Oriental"
"358","Estado de Palestina"
"401","República de Albania"
"402","República Federal de Alemania"
"403","Principado de Andorra"
"405","República de Austria"
"407","República de Bielorrusia"
"408","Reino de Bélgica"
