CVE,DESCRIP
1,1 a 999 habitantes
2,1 000 a 1 999 habitantes
3,2 000 a 2 499  habitantes
4,2 500 a 4 999 habitantes
5,5 000 a 9 999 habitantes
6,10 000 a 14 999 habitantes
7,15 000 a 19 999 habitantes
8,20 000 a 29 999 habitantes
9,30 000 a 39 999 habitantes
10,40 000 a 49 999 habitantes
11,50 000 a 74 999 habitantes
12,75 000 a 99 999 habitantes
13,100 000 a 249 999 habitantes
14,250 000 a 499 999 habitantes
15,500 000 a 999 999 habitantes
16,1 000 000 a 1 499 999 habitantes
17,1 500 000 y más habitantes
99,No especificado
