NOMBRE_CAMPO,LONGITUD,TIPO,NEMÃ“NICO,CATÃLOGO,RANGO_CLAVES                                                              
Entidad de registro,2,C,ent_regis,entidad_municipio_localidad_2024,"01 … 32	"
Municipio o demarcaciÃ³n territorial de registro,3,C,mun_regis,entidad_municipio_localidad_2024,001 … 570                                                                 
TamaÃ±o de localidad de registro,2,N,tloc_regis,tamaÃ±o_localidad,"1 … 17, 99                                                                "
Localidad de registro,4,C,loc_regis,entidad_municipio_localidad_2024,"0001 … 6999, 7777                                       "
Entidad de residencia habitual del (la) fallecido (a),2,C,ent_resid,entidad_municipio_localidad_2024,"01 … 35, 99                                                               "
Municipio o demarcaciÃ³n territorial de residencia habitual del (la) fallecido (a),3,C,mun_resid,entidad_municipio_localidad_2024,"001 … 570, 999                                                            "
TamaÃ±o de localidad de residencia habitual del (la) fallecido (a),2,N,tloc_resid,tamaÃ±o_localidad,"01 … 17, 99                                                                "
Localidad de residencia habitual del (la) fallecido (a),4,C,loc_resid,entidad_municipio_localidad_2024,"0001 … 6999, 7777, 9999                                                       "
Entidad de ocurrencia,2,C,ent_ocurr,entidad_municipio_localidad_2024,"01 … 32, 99                                                                "
Municipio o demarcaciÃ³n territorial de ocurrencia,3,C,mun_ocurr,entidad_municipio_localidad_2024,"001 … 570, 999                                                             "
TamaÃ±o de localidad de ocurrencia,2,N,tloc_ocurr,tamaÃ±o_localidad,"1 … 17, 99                                                                "
Localidad de ocurrencia,4,C,loc_ocurr,entidad_municipio_localidad_2024,"0001 … 6999, 7777, 9999                                                       "
Causa de la defunciÃ³n (lista detallada),4,C,causa_def,causa_defuncion,"A000 … R99X, U070, V010 … Y899                                                                    "
CÃ³digo adicional CIE,4,C,cod_adicio,codigo_adicional,"B950 … P75X, S000 … T983, Nulo"
Causa de la defunciÃ³n (lista mexicana),3,C,lista_mex,lista_mexicana,"01 … 59, 61"
Sexo del (la) fallecido (a),1,N,sexo,sexo,"1, 2 ,9                                                                   "
Lugar de nacimiento,3,C,ent_nac,entidad_municipio_localidad_2024,"001 … 032, 101 … 535, 888, 997, 998, 999                                                       "
CondiciÃ³n de autoadscripciÃ³n como persona afromexicana,1,C,afromex,afromexi,"1, 2, 8, 9"
CondiciÃ³n de autoadscripciÃ³n como persona indÃ­gena,1,C,conindig,conind,"1, 2 ,8, 9"
CondiciÃ³n de habla lengua indÃ­gena del (la) fallecido (a),1,C,lengua,lengua_indigena,"1, 2, 8, 9                                                                 "
Clave de la lengua indÃ­gena,4,C,cve_lengua,lenguas,"0101 … 1101, 8000, 8888, 9000, 9010, 9020, 9030"
Nacionalidad del (la) fallecido (a),1,C,nacionalid,nacionalidad,"1, 2, 9                                                                  "
Nacionalidad extranjera,3,C,nacesp_cve,paises,"101 ... 535, 888, 997, 998, 999"
Edad del (la) fallecido (a),4,N,edad,edad,"1001 … 1023, 1097, 1098, 2001 … 2029, 2098, 3001 … 3011, 3098, 4001 … 4120, 4998   "
Semanas de gestaciÃ³n de las personas fallecidas ,2,N,sem_gest,edadgest,"22 … 42, 88, 99"
Peso en gramos de las personas fallecidas con menos de 28 dÃ­as de edad,4,N,gramos,pesoprod,"600 … 6000, 8888, 9999"
DÃ­a de ocurrencia,2,N,dia_ocurr,dia,"1 … 31, 99                                                                "
Mes de ocurrencia,2,N,mes_ocurr,mes,"1 … 12, 99                                                               "
AÃ±o de ocurrencia,4,N,anio_ocur,aÃ±o,"1955 … 2024, 9999                                                               "
DÃ­a de registro,2,N,dia_regis,dia,"1 … 31, 99                                                                "
Mes de registro,2,N,mes_regis,mes,1 … 12
AÃ±o de registro,4,N,anio_regis,aÃ±o,AÃ±o estadÃ­stica                                                           
DÃ­a de nacimiento del (la) fallecido (a),2,N,dia_nacim,dia,"1 … 31, 99                                                                "
Mes de nacimiento del (la) fallecido (a),2,N,mes_nacim,mes,"1 … 12, 99                                                                "
AÃ±o de nacimiento del (la) fallecido (a),4,N,anio_nacim,aÃ±o,"1894 … 2024, 9999"
CondiciÃ³n de actividad econÃ³mica del (la) fallecido (a),1,N,cond_act,condicion_actividad,"1, 2, 8, 9                                                                 "
OcupaciÃ³n del (la) fallecido (a),3,C,ocupacion,ocupacion,"011 ... 099, 100, 110, 997,998, 999                                                      "
Nivel de escolaridad del (la) fallecido (a) (escolaridad),2,N,escolarida,escolaridad,"1..10,88,99                                                            "
Estado conyugal (civil) del (la) fallecido (a),1,N,edo_civil,estado_civil,"1 … 6, 8, 9                                                               "
Tipo de defunciÃ³n (presunto),1,N,tipo_defun,presunta_defuncion_violenta,"1 … 5, 9                                                                  "
OcurriÃ³ en el desempeÃ±o de su trabajo,1,N,ocurr_trab,ocurrio_trabajo,"1, 2, 8, 9                                                               "
Sitio de ocurrencia de la lesiÃ³n,2,N,lugar_ocur,lugar_ocurrencia,"0 … 9, 88                                                               "
Parentesco del presunto agresor,2,N,par_agre,parentesco_agresor,"1 … 72, 88, 99                                                          "
Violencia familiar,1,N,vio_fami,violencia_familiar,"1, 2, 8 ,9"
CondiciÃ³n de atenciÃ³n mÃ©dica,1,N,asist_medi,asistencia_medica,"1, 2, 9                                                                 "
CondiciÃ³n de cirugÃ­a,1,C,cirugia,cirugÃ­a,"1, 2, 8, 9                                                               "
La muerte fue accidental o violenta,1,C,natviole,accidental_violenta,"1, 2, 8                                                           "
CondiciÃ³n de necropsia,1,C,necropsia,necropsia,"1, 2, 9                                                                 "
CondiciÃ³n de uso de la necropsia,1,C,usonecrops,uso_necropsia,"1, 2, 8, 9                                                               "
CondiciÃ³n de muerte encefÃ¡lica,1,C,encefalica,encefalica,"1, 2 ,8, 9                                                               "
CondiciÃ³n de donador(a) de Ã³rganos,1,C,donador,donador,"1, 2, 8, 9                                                               "
Sitio de ocurrencia de la defunciÃ³n,2,N,sitio_ocur,sitio_ocurrencia,"1 … 13, 99                                                                 "
Persona que certificÃ³ la defunciÃ³n,1,N,cond_cert,certificante,"1 … 5, 8, 9                                                               "
AfiliaciÃ³n a los servicios de salud (derechohabiencia) del (la) fallecido (a),2,N,derechohab,derechohabiencia,"1 … 10, 12, 99                                                                 "
CondiciÃ³n de embarazo,1,N,embarazo,condicion_embarazo,"1 … 5, 8, 9                                                                "
Causas relacionadas con el embarazo,1,N,rel_emba,relacion_con_embarazo,"1, 2, 8, 9                                                                  "
Hora de la defunciÃ³n,2,N,horas,hora,"0 … 23, 99                                                               "
Minuto de la defunciÃ³n,2,N,minutos,minuto,"0 … 59, 99                                                               "
Causas detalladas CIE (capÃ­tulo),2,N,capitulo,capitulo_grupo,"1 … 18, 20, 22"
Causas detalladas CIE (grupo),2,N,grupo,capitulo_grupo,1 … 35
Lista de tabulaciÃ³n 1 para mortalidad de la CIE,3,C,lista1,lista1,"001 … 103, 902, 903"
Lista mexicana de enfermedades (grupo),3,C,gr_lismex,grupo_lista_mexicana,"01 … 48, E49 … E59"
Ãrea urbana-rural de residencia habitual del (la) fallecido (a),1,N,area_ur,area_urbana_rural,"1, 2, 9                                                                 "
